iter	Passed	Remaining
0	10	181
1	20	163
2	29	148
3	39	138
4	51	133
5	60	121
6	70	110
7	79	99
8	89	89
9	99	79
10	108	69
11	118	59
12	127	49
13	137	39
14	150	30
15	161	20
16	171	10
17	180	0
