iter	Logloss
0	0.6891796068
1	0.6852840659
2	0.6815756999
3	0.6779350353
4	0.6744599321
5	0.6710607614
6	0.667774342
7	0.6645469267
8	0.6614338915
9	0.6584391985
10	0.65549008
11	0.6526454617
12	0.649859331
13	0.6471797227
14	0.6445599842
15	0.6419927623
16	0.6395230725
17	0.6371214626
